order_id,order_number,customer_id,channel_id,order_date,status,currency,subtotal,discount_total,tax_total,shipping_total
80,ORD2024-000080,657,1,02/10/2024 16:16,fulfilled,CAD,58.47,0,7.6,0
81,ORD2025-000081,75,1,19/07/2025 00:48,closed,CAD,81.67,0,5.72,0
82,ORD2025-000082,967,1,20/08/2025 14:08,paid,CAD,180.96,18.21,21.16,19.99
83,ORD2025-000083,720,2,13/01/2025 05:34,fulfilled,CAD,11.02,0,0.77,7.99
84,ORD2025-000084,860,1,02/05/2025 00:07,fulfilled,CAD,466.6,69.99,51.56,0
85,ORD2025-000085,443,1,03/06/2025 10:29,cancelled,CAD,22.87,0,1.6,7.99
86,ORD2025-000086,55,5,09/08/2025 10:31,paid,CAD,28.53,0.3,3.67,7.99
87,ORD2025-000087,347,3,09/09/2025 23:43,fulfilled,CAD,81.64,0,10.62,0
88,ORD2025-000088,343,1,03/01/2025 02:38,fulfilled,CAD,28.99,0,2.03,7.99
89,ORD2025-000089,840,1,31/08/2025 13:02,closed,CAD,33.09,0,4.3,7.99
90,ORD2024-000090,714,3,29/10/2024 12:08,fulfilled,CAD,36.99,0,2.59,7.99
91,ORD2025-000091,563,1,07/05/2025 09:04,cancelled,CAD,88.96,2.14,11.29,0
92,ORD2025-000092,775,1,03/07/2025 11:43,closed,CAD,37.83,1.34,2.55,7.99
93,ORD2025-000093,122,2,31/05/2025 21:32,fulfilled,CAD,147.02,0,19.11,0
94,ORD2025-000094,771,4,29/04/2025 03:41,fulfilled,CAD,40.43,0,2.83,7.99
95,ORD2025-000095,708,2,27/06/2025 10:48,fulfilled,CAD,57.6,2.88,7.11,0
96,ORD2025-000096,959,1,17/03/2025 17:00,fulfilled,CAD,119.6,3.87,15.04,19.99
97,ORD2025-000097,48,1,06/09/2025 07:09,paid,CAD,41.58,0,5.41,7.99
98,ORD2025-000098,343,1,27/08/2025 20:44,closed,CAD,70.32,2.2,4.77,0
99,ORD2024-000099,824,4,07/10/2024 06:56,paid,CAD,38.72,0,5.03,7.99
100,ORD2025-000100,747,1,13/03/2025 07:23,closed,CAD,52.28,0,3.66,0
101,ORD2025-000101,761,1,05/02/2025 11:22,fulfilled,CAD,81.95,0,5.74,0
102,ORD2025-000102,433,1,24/03/2025 02:30,fulfilled,CAD,93.1,0,12.1,0
103,ORD2025-000103,506,2,16/06/2025 18:57,fulfilled,CAD,70.68,3.53,8.73,0
104,ORD2025-000104,147,3,19/06/2025 16:45,fulfilled,CAD,183.42,1.76,23.62,0
105,ORD2024-000105,799,1,09/10/2024 19:29,paid,CAD,42.9,0,5.58,7.99
106,ORD2025-000106,549,2,04/02/2025 09:36,closed,CAD,40.09,0.61,5.14,7.99
107,ORD2024-000107,177,1,08/12/2024 12:51,fulfilled,CAD,137.82,0,17.91,0
108,ORD2025-000108,941,1,10/01/2025 01:43,fulfilled,CAD,237.78,21.54,28.11,19.99
109,ORD2024-000109,906,1,07/11/2024 16:56,paid,CAD,360.42,32.31,42.66,0
110,ORD2025-000110,76,2,21/04/2025 05:52,closed,CAD,57.28,0,4.01,0
111,ORD2025-000111,170,7,12/03/2025 22:46,fulfilled,CAD,80.73,0,10.49,0
112,ORD2025-000112,685,2,22/03/2025 14:04,fulfilled,CAD,97.54,3.83,12.18,0
113,ORD2025-000113,350,1,17/05/2025 03:44,fulfilled,CAD,28.62,0,2,7.99
114,ORD2025-000114,998,5,25/02/2025 14:02,fulfilled,CAD,297.4,26.85,35.17,0
115,ORD2024-000115,91,7,30/09/2024 20:32,fulfilled,CAD,27.13,0,1.9,7.99
116,ORD2025-000116,887,3,13/05/2025 14:11,fulfilled,CAD,269.38,31.6,30.91,19.99
117,ORD2025-000117,478,1,20/07/2025 05:41,closed,CAD,16.65,0,2.16,7.99
118,ORD2025-000118,877,2,04/09/2025 18:56,fulfilled,CAD,415.08,21.7,51.14,0
119,ORD2025-000119,601,4,09/03/2025 03:16,closed,CAD,113.54,1.45,7.85,0
120,ORD2025-000120,776,1,08/06/2025 16:03,paid,CAD,36.48,0,2.55,7.99
121,ORD2025-000121,571,1,03/04/2025 03:35,cancelled,CAD,63.92,0,8.31,0
122,ORD2025-000122,886,1,23/02/2025 14:52,paid,CAD,151.28,10.5,9.85,19.99
123,ORD2025-000123,167,2,02/04/2025 21:39,fulfilled,CAD,64.84,0,4.54,0
124,ORD2024-000124,715,7,09/11/2024 01:17,paid,CAD,34.72,0,4.51,7.99
125,ORD2025-000125,852,6,08/07/2025 18:12,fulfilled,CAD,56.38,2.82,6.96,19.99
126,ORD2025-000126,764,4,13/05/2025 16:56,fulfilled,CAD,99.92,0,6.99,0
127,ORD2025-000127,383,2,11/01/2025 05:37,cancelled,CAD,38.36,0,4.99,7.99
128,ORD2025-000128,989,1,04/06/2025 09:26,fulfilled,CAD,117.06,8.09,14.17,19.99
129,ORD2025-000129,133,1,21/05/2025 20:21,paid,CAD,36.81,0,4.79,7.99
130,ORD2025-000130,381,6,11/07/2025 02:46,fulfilled,CAD,72.92,0,5.1,0
131,ORD2025-000131,196,1,12/02/2025 06:38,fulfilled,CAD,24.2,0,3.15,7.99
132,ORD2025-000132,179,5,02/06/2025 17:11,fulfilled,CAD,4.75,0,0.62,7.99
133,ORD2025-000133,300,3,24/06/2025 07:52,closed,CAD,31.26,0,4.07,7.99
134,ORD2025-000134,520,6,11/01/2025 17:49,fulfilled,CAD,109.92,0,14.29,0
135,ORD2025-000135,755,2,29/06/2025 00:52,closed,CAD,68.23,0,8.87,0
136,ORD2025-000136,750,3,05/05/2025 08:50,fulfilled,CAD,77.93,2.95,9.75,0
137,ORD2025-000137,52,3,22/07/2025 01:03,fulfilled,CAD,12.03,0,0.84,7.99
138,ORD2025-000138,985,1,29/03/2025 01:50,fulfilled,CAD,318.24,21.26,38.61,0
139,ORD2024-000139,584,4,15/11/2024 00:59,closed,CAD,58.4,0,4.09,0
140,ORD2025-000140,143,1,07/01/2025 04:32,paid,CAD,57.7,0,7.5,0
141,ORD2025-000141,947,1,23/07/2025 08:27,fulfilled,CAD,292.12,29.5,34.14,0
142,ORD2025-000142,106,1,14/05/2025 13:04,paid,CAD,12.08,0,0.85,7.99
143,ORD2025-000143,921,1,31/07/2025 08:22,paid,CAD,75.54,3.26,5.06,19.99
144,ORD2024-000144,162,1,01/11/2024 22:17,fulfilled,CAD,28.81,0,2.02,7.99
145,ORD2025-000145,368,5,26/02/2025 19:09,fulfilled,CAD,17.54,0.88,2.17,7.99
146,ORD2025-000146,770,2,14/05/2025 02:35,fulfilled,CAD,100.5,2.88,6.83,0
147,ORD2025-000147,714,3,23/01/2025 06:56,closed,CAD,57.52,0,4.03,0
148,ORD2024-000148,228,1,27/11/2024 04:17,fulfilled,CAD,122.12,4.33,8.25,0
149,ORD2025-000149,483,4,02/02/2025 00:17,fulfilled,CAD,35.62,0,2.49,7.99
150,ORD2024-000150,78,5,16/12/2024 03:31,paid,CAD,52.8,0,6.86,0
151,ORD2025-000151,36,1,09/03/2025 05:49,paid,CAD,100.38,5.02,6.68,0
152,ORD2024-000152,968,1,27/11/2024 10:48,paid,CAD,265.48,0,34.51,0
153,ORD2025-000153,243,1,11/05/2025 12:08,closed,CAD,17.57,0.61,1.19,7.99
154,ORD2025-000154,254,1,06/08/2025 18:21,closed,CAD,126.45,5.4,15.74,0
155,ORD2025-000155,884,1,07/09/2025 21:39,fulfilled,CAD,347.68,9.37,23.68,0
156,ORD2025-000156,409,1,22/04/2025 00:13,closed,CAD,114.72,0,8.03,0
157,ORD2024-000157,647,1,01/12/2024 21:11,paid,CAD,4.64,0,0.6,7.99
158,ORD2025-000158,538,1,15/03/2025 15:43,fulfilled,CAD,162.15,0,21.08,0
159,ORD2025-000159,835,4,24/04/2025 14:07,paid,CAD,133.01,0,17.3,0
160,ORD2025-000160,27,4,09/04/2025 02:24,fulfilled,CAD,21.7,0.36,2.77,7.99
161,ORD2024-000161,575,1,16/12/2024 13:44,fulfilled,CAD,23.88,0,3.11,7.99
162,ORD2025-000162,16,1,06/03/2025 02:48,closed,CAD,10.7,0,0.75,7.99
163,ORD2025-000163,257,6,16/03/2025 08:17,fulfilled,CAD,66.52,0,8.65,0
164,ORD2025-000164,496,1,04/06/2025 22:42,fulfilled,CAD,4.19,0,0.54,7.99
165,ORD2024-000165,143,1,29/12/2024 01:34,fulfilled,CAD,39.64,0.81,5.05,7.99
166,ORD2025-000166,714,6,03/01/2025 23:57,fulfilled,CAD,63.05,0,4.41,0
167,ORD2024-000167,63,1,11/09/2024 11:17,fulfilled,CAD,96.28,0,6.75,0
168,ORD2025-000168,269,4,27/01/2025 00:09,paid,CAD,7.86,0,1.02,7.99
169,ORD2025-000169,509,1,06/09/2025 06:26,paid,CAD,53.37,0,3.73,0
170,ORD2025-000170,522,5,13/04/2025 00:24,paid,CAD,103.63,1.88,7.13,0
171,ORD2025-000171,527,1,18/05/2025 03:17,fulfilled,CAD,4.03,0,0.52,7.99
172,ORD2025-000172,156,4,09/02/2025 23:00,paid,CAD,17.87,0.89,1.19,7.99
173,ORD2025-000173,339,5,16/07/2025 03:33,closed,CAD,28.23,0.72,1.93,7.99
174,ORD2024-000174,960,1,12/09/2024 07:22,paid,CAD,236.06,8.66,29.56,19.99
175,ORD2025-000175,476,4,02/05/2025 18:16,fulfilled,CAD,22.12,0,1.55,7.99
176,ORD2025-000176,759,1,29/07/2025 05:18,fulfilled,CAD,117.98,0,8.26,0
177,ORD2025-000177,673,1,02/02/2025 07:39,closed,CAD,113.25,0,14.73,0
178,ORD2024-000178,783,5,15/11/2024 00:50,fulfilled,CAD,45.23,0,5.88,7.99
179,ORD2025-000179,704,2,14/03/2025 04:04,paid,CAD,83.01,0,5.81,0
180,ORD2024-000180,213,1,04/10/2024 07:16,paid,CAD,126.64,1.77,8.74,0
181,ORD2025-000181,160,2,22/01/2025 22:01,paid,CAD,36.01,0,2.52,7.99
182,ORD2025-000182,580,1,18/08/2025 04:41,fulfilled,CAD,124.96,3.62,15.77,0
183,ORD2024-000183,573,3,20/11/2024 10:14,paid,CAD,99.95,0,7,0
184,ORD2025-000184,261,1,21/08/2025 20:45,fulfilled,CAD,54.12,2.48,6.71,0
185,ORD2024-000185,859,1,30/10/2024 17:59,closed,CAD,460.84,6.37,59.08,0
186,ORD2024-000186,333,2,22/10/2024 00:26,cancelled,CAD,18.06,0,2.35,7.99
187,ORD2024-000187,538,1,14/12/2024 16:41,fulfilled,CAD,163.06,0,21.19,0
188,ORD2024-000188,575,2,23/11/2024 05:35,fulfilled,CAD,117.9,3.26,14.9,0
189,ORD2025-000189,313,2,17/08/2025 03:06,paid,CAD,74.73,0,9.71,0
190,ORD2024-000190,314,1,17/11/2024 19:46,closed,CAD,114.22,0,14.85,0
191,ORD2025-000191,891,4,14/07/2025 00:28,fulfilled,CAD,381.18,10.89,25.92,0
192,ORD2025-000192,9,3,29/08/2025 20:37,closed,CAD,70.27,0,9.14,0
193,ORD2025-000193,6,4,14/06/2025 02:45,cancelled,CAD,39.39,1.97,2.62,7.99
194,ORD2025-000194,336,1,27/02/2025 00:08,paid,CAD,81.58,0,10.6,0
195,ORD2025-000195,716,1,09/08/2025 16:24,fulfilled,CAD,85.3,2.31,10.79,0
196,ORD2024-000196,202,4,16/11/2024 12:37,fulfilled,CAD,11.18,0,0.78,7.99
197,ORD2025-000197,282,2,09/09/2025 21:22,paid,CAD,114.58,0,14.9,0
198,ORD2025-000198,219,1,25/04/2025 16:23,fulfilled,CAD,46.67,0,3.26,7.99
199,ORD2024-000199,512,1,05/10/2024 06:36,paid,CAD,149.01,0,19.38,0
200,ORD2025-000200,781,4,22/04/2025 17:42,paid,CAD,13.76,0,0.96,7.99
201,ORD2024-000201,261,1,20/10/2024 19:14,closed,CAD,86.61,0,11.26,0
202,ORD2025-000202,608,2,18/04/2025 19:19,paid,CAD,103.66,0,13.47,0
203,ORD2024-000203,165,1,22/11/2024 14:56,closed,CAD,35.54,0,4.62,7.99
204,ORD2025-000204,122,2,12/07/2025 14:21,fulfilled,CAD,57.32,0,7.45,0
205,ORD2025-000205,945,6,19/04/2025 20:04,closed,CAD,668.24,5.58,46.39,0
206,ORD2025-000206,451,3,12/08/2025 17:11,paid,CAD,65.04,0,8.46,0
207,ORD2025-000207,869,2,01/04/2025 04:42,fulfilled,CAD,104.82,0,7.33,19.99
208,ORD2025-000208,56,1,28/06/2025 16:54,closed,CAD,92.04,1.24,11.8,0
209,ORD2024-000209,428,1,12/11/2024 20:07,closed,CAD,17.64,0.88,2.18,7.99
210,ORD2025-000210,39,6,20/03/2025 17:14,paid,CAD,30.04,0.88,3.79,7.99
211,ORD2024-000211,290,6,16/12/2024 09:36,paid,CAD,118.62,0,15.42,0
212,ORD2025-000212,232,5,20/03/2025 05:36,fulfilled,CAD,82.42,0,10.71,0
213,ORD2024-000213,344,4,16/10/2024 22:15,fulfilled,CAD,86.8,0,11.28,0
214,ORD2025-000214,804,1,11/08/2025 23:51,fulfilled,CAD,108.48,0,7.6,0
215,ORD2025-000215,528,4,20/04/2025 00:13,fulfilled,CAD,116.4,0.85,15.01,0
216,ORD2025-000216,210,1,10/03/2025 06:26,paid,CAD,14.37,0,1.87,7.99
217,ORD2024-000217,48,2,16/12/2024 05:33,closed,CAD,34.41,0,4.47,7.99
218,ORD2024-000218,62,1,28/11/2024 01:43,paid,CAD,58.11,1.29,3.98,0
219,ORD2025-000219,227,2,16/02/2025 00:03,paid,CAD,57.2,0,7.44,0
220,ORD2024-000220,480,1,24/09/2024 13:48,fulfilled,CAD,41.5,0,5.4,7.99
221,ORD2025-000221,138,2,02/05/2025 09:33,paid,CAD,80.15,0.75,10.32,0
222,ORD2025-000222,75,3,09/01/2025 06:07,paid,CAD,43.11,2.16,2.87,7.99
223,ORD2024-000223,990,1,27/10/2024 23:51,paid,CAD,461.26,31.33,30.09,0
224,ORD2025-000224,326,6,06/08/2025 12:23,closed,CAD,9.67,0,1.26,7.99
225,ORD2024-000225,870,1,25/09/2024 23:26,paid,CAD,202.28,10.63,13.42,19.99
226,ORD2025-000226,905,1,16/03/2025 10:33,closed,CAD,232.12,15.87,28.11,19.99
227,ORD2024-000227,465,1,10/12/2024 22:54,paid,CAD,59.76,0,4.19,0
228,ORD2025-000228,31,4,01/07/2025 00:10,closed,CAD,44.94,0,3.15,7.99
229,ORD2024-000229,425,5,20/09/2024 22:54,paid,CAD,29.06,1.45,3.59,7.99
230,ORD2024-000230,910,1,07/12/2024 03:13,closed,CAD,327.04,24.7,21.17,0
231,ORD2025-000231,1,1,19/05/2025 12:41,closed,CAD,107.1,0,7.49,0
232,ORD2024-000232,303,3,07/11/2024 13:30,paid,CAD,55.4,0.61,7.12,0
233,ORD2024-000233,858,1,11/09/2024 22:29,fulfilled,CAD,474.52,0,61.69,0
234,ORD2024-000234,857,2,30/10/2024 17:48,fulfilled,CAD,257.46,24.51,16.3,19.99
235,ORD2025-000235,769,4,08/03/2025 02:06,fulfilled,CAD,4.05,0.2,0.5,7.99
236,ORD2024-000236,21,1,10/12/2024 17:36,paid,CAD,25.37,0,3.3,7.99
237,ORD2025-000237,224,5,24/02/2025 16:23,fulfilled,CAD,26.58,0,3.46,7.99
238,ORD2025-000238,867,1,29/01/2025 23:30,fulfilled,CAD,95.96,10.53,11.1,19.99
239,ORD2024-000239,290,1,06/10/2024 09:58,fulfilled,CAD,36.07,0,4.69,7.99
240,ORD2025-000240,180,2,04/03/2025 01:03,fulfilled,CAD,65.24,0,4.56,0
241,ORD2024-000241,228,1,25/11/2024 17:29,paid,CAD,6.79,0,0.48,7.99
242,ORD2024-000242,930,6,13/12/2024 00:10,paid,CAD,264.42,4.83,33.74,0
243,ORD2025-000243,693,1,13/01/2025 05:47,fulfilled,CAD,4.81,0,0.34,7.99
244,ORD2025-000244,435,7,13/07/2025 13:50,closed,CAD,38.08,0,4.95,7.99
245,ORD2025-000245,283,1,26/02/2025 12:49,fulfilled,CAD,57.88,0,7.52,0
246,ORD2025-000246,993,1,25/06/2025 17:57,fulfilled,CAD,330.68,26.14,39.59,0
247,ORD2024-000247,864,4,17/12/2024 19:20,paid,CAD,239.72,1.26,16.69,19.99
248,ORD2025-000248,920,2,11/02/2025 21:52,fulfilled,CAD,326.04,30.95,20.65,0
249,ORD2025-000249,20,2,01/02/2025 03:42,paid,CAD,34.01,0,4.42,7.99
250,ORD2025-000250,153,1,21/07/2025 02:50,fulfilled,CAD,66.94,0.54,8.62,0
251,ORD2025-000251,279,7,04/02/2025 23:07,closed,CAD,48.12,0,6.26,7.99
252,ORD2024-000252,91,2,04/10/2024 20:50,fulfilled,CAD,33.06,0,2.31,7.99
253,ORD2025-000253,761,1,25/03/2025 13:45,closed,CAD,37.2,0.89,2.54,7.99
254,ORD2025-000254,132,4,12/04/2025 13:20,paid,CAD,33.27,0,4.33,7.99
255,ORD2025-000255,19,1,08/02/2025 07:08,closed,CAD,21.92,0,1.54,7.99
256,ORD2025-000256,232,6,23/04/2025 23:03,closed,CAD,181.06,0.45,23.48,0
257,ORD2025-000257,241,1,28/06/2025 07:42,paid,CAD,50.58,0,3.54,0
258,ORD2025-000258,243,6,17/07/2025 16:47,fulfilled,CAD,20.79,1.04,1.38,7.99
259,ORD2025-000259,779,5,18/01/2025 08:12,fulfilled,CAD,60.88,0,4.26,0
260,ORD2025-000260,293,7,17/07/2025 04:58,fulfilled,CAD,106.21,0,13.81,0
261,ORD2024-000261,261,1,24/11/2024 13:53,paid,CAD,50.44,0.52,6.49,7.99
262,ORD2025-000262,43,6,29/01/2025 08:00,fulfilled,CAD,109.06,0,14.18,0
263,ORD2025-000263,986,1,10/01/2025 04:24,paid,CAD,155.44,11.88,18.66,19.99
264,ORD2025-000264,116,5,13/08/2025 18:49,fulfilled,CAD,24.98,0,3.25,7.99
265,ORD2025-000265,708,3,19/04/2025 09:51,fulfilled,CAD,62.37,0,8.1,0
266,ORD2024-000266,442,5,19/11/2024 04:08,cancelled,CAD,37.12,0,2.6,7.99
267,ORD2024-000267,332,2,01/10/2024 02:27,paid,CAD,111.79,1.58,7.72,0
268,ORD2025-000268,207,1,04/05/2025 12:20,fulfilled,CAD,8,0,0.56,7.99
269,ORD2025-000269,821,5,09/04/2025 23:12,paid,CAD,68.54,1.26,8.75,0
270,ORD2025-000270,233,6,01/07/2025 10:44,closed,CAD,39.75,0,5.16,7.99
271,ORD2024-000271,938,1,06/12/2024 07:12,paid,CAD,70.9,4.99,8.57,19.99
272,ORD2025-000272,153,1,27/07/2025 22:44,paid,CAD,52.98,0,6.89,0
273,ORD2025-000273,514,2,18/04/2025 04:27,closed,CAD,77.68,0,5.44,0
274,ORD2025-000274,531,2,07/02/2025 03:59,paid,CAD,71.74,0,9.33,0
275,ORD2025-000275,900,3,08/09/2025 17:03,fulfilled,CAD,239.3,5.65,16.36,19.99
276,ORD2025-000276,206,1,12/06/2025 03:29,cancelled,CAD,75.22,0,9.77,0
277,ORD2024-000277,999,2,10/12/2024 15:31,paid,CAD,219.46,20.6,25.86,19.99
278,ORD2024-000278,215,2,07/12/2024 07:40,closed,CAD,12.02,0.6,0.8,7.99
279,ORD2025-000279,63,1,17/02/2025 12:54,paid,CAD,32.54,0,2.28,7.99
280,ORD2025-000280,280,6,29/06/2025 14:53,paid,CAD,6.01,0.3,0.74,7.99
281,ORD2024-000281,134,5,17/10/2024 08:34,closed,CAD,65.24,0.79,8.38,0
282,ORD2024-000282,321,1,10/10/2024 00:36,fulfilled,CAD,70.52,0,4.94,0
283,ORD2024-000283,753,6,24/09/2024 01:02,closed,CAD,38.74,0.69,2.67,7.99
284,ORD2024-000284,430,1,03/12/2024 15:17,closed,CAD,48.85,2.17,6.07,7.99
285,ORD2024-000285,855,2,23/11/2024 14:15,closed,CAD,236.68,10.29,15.84,19.99
286,ORD2025-000286,865,5,21/08/2025 18:51,closed,CAD,548.88,12.19,37.57,0
287,ORD2025-000287,237,5,05/03/2025 01:00,closed,CAD,70.48,0,4.93,0
288,ORD2025-000288,630,5,25/01/2025 01:19,fulfilled,CAD,11.3,0,1.47,7.99
