orderline_id,order_id,variant_id,title_snapshot,quantity,unit_price,line_discount,line_tax
49,21,10,Organic Tampons - Super / 16,4,5.42,0.0,2.82
50,22,7,Organic Panty Liners - Day / 60,2,7.02,0.0,1.83
51,22,24,Heat Patches (5-pack) - 5-pack,1,4.62,0.23,0.57
52,22,24,Heat Patches (5-pack) - 5-pack,1,4.8,0.0,0.62
53,23,1,Organic Daily Pads - Regular / 20,2,5.7,0.0,0.8
54,23,2,Organic Daily Pads - Regular / 40,3,9.72,0.0,2.04
55,24,17,Menstrual Cup - Size M,3,14.35,0.0,5.6
56,24,22,Wall-Mounted Steel Dispenser - Steel,1,36.11,0.0,4.69
57,25,12,Organic Tampons w/ Applicator - Regular / 16,10,6.11,6.11,7.15
58,25,16,Menstrual Cup - Size S,6,14.31,0.0,11.16
59,26,12,Organic Tampons w/ Applicator - Regular / 16,2,6.05,0.0,1.57
60,27,22,Wall-Mounted Steel Dispenser - Steel,6,36.23,32.61,24.02
61,27,25,Cramp Relief Balm - 30 ml,6,3.94,1.18,2.92
62,28,21,Period Underwear - Size L,1,17.63,0.88,2.18
63,28,25,Cramp Relief Balm - 30 ml,1,3.83,0.0,0.5
64,29,17,Menstrual Cup - Size M,1,14.55,0.0,1.02
65,30,2,Organic Daily Pads - Regular / 40,2,9.59,0.96,2.37
66,30,20,Period Underwear - Size M,1,17.63,0.0,2.29
67,31,7,Organic Panty Liners - Day / 60,3,7.13,0.0,1.5
68,31,20,Period Underwear - Size M,2,17.63,1.76,2.35
69,31,20,Period Underwear - Size M,3,17.79,0.0,3.74
70,32,11,Organic Tampons - Super / 32,4,9.63,0.0,2.7
71,32,10,Organic Tampons - Super / 16,3,5.36,0.0,1.13
72,33,14,Organic Tampons w/ Applicator - Super / 16,1,6.76,0.0,0.47
73,33,1,Organic Daily Pads - Regular / 20,3,5.61,0.0,1.18
74,33,8,Organic Tampons - Regular / 16,4,4.8,0.0,1.34
75,34,18,Menstrual Cup - Size L,3,14.42,0.0,3.03
76,34,6,Organic Panty Liners - Day / 30,3,4.1,0.0,0.86
77,34,16,Menstrual Cup - Size S,2,14.3,0.0,2.0
78,35,1,Organic Daily Pads - Regular / 20,8,5.52,0.0,5.74
79,35,5,Organic Postpartum Pads - Postpartum / 20,8,10.56,8.45,9.88
80,35,15,Organic Tampons w/ Applicator - Super / 32,8,12.34,0.0,12.83
81,36,22,Wall-Mounted Steel Dispenser - Steel,4,36.04,0.0,18.74
82,36,8,Organic Tampons - Regular / 16,2,4.87,0.0,1.27
83,36,17,Menstrual Cup - Size M,2,14.46,0.0,3.76
84,37,11,Organic Tampons - Super / 32,3,9.53,0.0,2.0
85,37,11,Organic Tampons - Super / 32,2,9.51,0.0,1.33
86,38,11,Organic Tampons - Super / 32,4,9.67,0.0,2.71
87,38,16,Menstrual Cup - Size S,1,14.39,0.0,1.01
88,39,15,Organic Tampons w/ Applicator - Super / 32,4,12.32,2.46,3.28
89,39,21,Period Underwear - Size L,12,17.64,0.0,14.82
90,40,1,Organic Daily Pads - Regular / 20,8,5.57,0.0,3.12
91,40,21,Period Underwear - Size L,12,17.7,0.0,14.87
92,40,1,Organic Daily Pads - Regular / 20,6,5.7,5.13,2.03
93,41,23,Plexi Dispenser - Plexi,1,21.62,0.0,1.51
94,42,20,Period Underwear - Size M,1,17.64,0.88,2.18
95,42,13,Organic Tampons w/ Applicator - Regular / 32,1,11.06,0.0,1.44
96,43,14,Organic Tampons w/ Applicator - Super / 16,4,6.8,0.0,1.9
97,44,13,Organic Tampons w/ Applicator - Regular / 32,2,11.2,0.0,2.91
98,45,6,Organic Panty Liners - Day / 30,4,4.16,0.83,2.06
99,45,2,Organic Daily Pads - Regular / 40,1,9.6,0.0,1.25
100,46,7,Organic Panty Liners - Day / 60,1,7.01,0.0,0.49
101,46,14,Organic Tampons w/ Applicator - Super / 16,2,6.82,0.68,0.91
102,47,2,Organic Daily Pads - Regular / 40,4,9.56,0.0,4.97
103,48,3,Organic Night Pads - Night / 14,2,7.45,0.0,1.04
104,48,18,Menstrual Cup - Size L,4,14.3,0.0,4.0
105,49,23,Plexi Dispenser - Plexi,3,21.7,0.0,8.46
106,49,11,Organic Tampons - Super / 32,1,9.65,0.0,1.25
107,50,17,Menstrual Cup - Size M,10,14.33,0.0,10.03
108,50,3,Organic Night Pads - Night / 14,8,7.34,8.81,3.49
109,50,14,Organic Tampons w/ Applicator - Super / 16,8,6.82,0.0,3.82
110,50,23,Plexi Dispenser - Plexi,4,21.68,8.67,5.46
111,51,8,Organic Tampons - Regular / 16,3,4.84,0.0,1.89
112,52,1,Organic Daily Pads - Regular / 20,1,5.6,0.28,0.69
113,52,5,Organic Postpartum Pads - Postpartum / 20,3,10.55,0.0,4.11
114,53,25,Cramp Relief Balm - 30 ml,4,3.83,0.0,1.07
115,53,9,Organic Tampons - Regular / 32,4,8.56,0.0,2.4
116,53,1,Organic Daily Pads - Regular / 20,4,5.55,0.0,1.55
117,54,19,Period Underwear - Size S,2,17.7,0.0,2.48
118,54,25,Cramp Relief Balm - 30 ml,4,3.83,0.0,1.07
119,55,16,Menstrual Cup - Size S,4,14.38,0.0,4.03
120,56,14,Organic Tampons w/ Applicator - Super / 16,3,6.82,1.02,2.53
121,56,17,Menstrual Cup - Size M,4,14.35,0.0,7.46
122,57,19,Period Underwear - Size S,6,17.66,10.6,6.68
123,57,13,Organic Tampons w/ Applicator - Regular / 32,12,11.1,13.32,8.39
124,57,10,Organic Tampons - Super / 16,6,5.3,0.0,2.23
125,58,6,Organic Panty Liners - Day / 30,4,4.08,0.0,2.12
126,59,22,Wall-Mounted Steel Dispenser - Steel,1,36.05,0.0,4.69
127,60,6,Organic Panty Liners - Day / 30,1,4.12,0.0,0.29
128,60,19,Period Underwear - Size S,2,17.8,0.0,2.49
129,61,1,Organic Daily Pads - Regular / 20,1,5.55,0.0,0.72
130,62,6,Organic Panty Liners - Day / 30,10,4.12,0.0,2.88
131,62,24,Heat Patches (5-pack) - 5-pack,8,4.65,0.0,2.6
132,63,17,Menstrual Cup - Size M,1,14.32,0.0,1.0
133,63,6,Organic Panty Liners - Day / 30,2,4.19,0.0,0.59
134,64,19,Period Underwear - Size S,6,17.7,10.62,12.43
135,64,15,Organic Tampons w/ Applicator - Super / 32,12,12.29,7.37,18.21
136,64,14,Organic Tampons w/ Applicator - Super / 16,4,6.92,2.77,3.24
137,65,15,Organic Tampons w/ Applicator - Super / 32,2,12.36,0.0,1.73
138,65,12,Organic Tampons w/ Applicator - Regular / 16,4,6.14,0.0,1.72
139,65,23,Plexi Dispenser - Plexi,2,21.75,0.0,3.05
140,66,25,Cramp Relief Balm - 30 ml,2,3.91,0.0,1.02
141,67,19,Period Underwear - Size S,4,17.62,0.0,4.93
142,67,10,Organic Tampons - Super / 16,1,5.36,0.0,0.38
143,68,24,Heat Patches (5-pack) - 5-pack,2,4.52,0.0,0.63
144,68,1,Organic Daily Pads - Regular / 20,1,5.55,0.0,0.39
145,69,2,Organic Daily Pads - Regular / 40,3,9.65,0.0,3.76
146,69,18,Menstrual Cup - Size L,3,14.45,0.0,5.64
147,69,14,Organic Tampons w/ Applicator - Super / 16,2,6.92,0.69,1.71
148,70,13,Organic Tampons w/ Applicator - Regular / 32,3,11.2,0.0,2.35
149,71,13,Organic Tampons w/ Applicator - Regular / 32,2,11.06,0.0,1.55
150,71,10,Organic Tampons - Super / 16,4,5.33,0.0,1.49
151,72,14,Organic Tampons w/ Applicator - Super / 16,3,7.0,0.0,2.73
152,73,17,Menstrual Cup - Size M,4,14.35,0.0,7.46
153,73,16,Menstrual Cup - Size S,1,14.59,0.0,1.9
154,74,17,Menstrual Cup - Size M,3,14.37,0.0,3.02
155,75,18,Menstrual Cup - Size L,6,14.37,8.62,10.09
156,75,20,Period Underwear - Size M,6,17.62,0.0,13.74
157,76,20,Period Underwear - Size M,4,17.77,0.0,9.24
158,77,14,Organic Tampons w/ Applicator - Super / 16,2,6.85,0.0,1.78
159,77,5,Organic Postpartum Pads - Postpartum / 20,4,10.55,0.0,5.49
160,78,5,Organic Postpartum Pads - Postpartum / 20,12,10.53,18.95,13.96
161,78,11,Organic Tampons - Super / 32,8,9.55,0.0,9.93
162,78,3,Organic Night Pads - Night / 14,6,7.32,0.0,5.71
163,79,7,Organic Panty Liners - Day / 60,8,7.15,5.72,3.6
164,79,18,Menstrual Cup - Size L,6,14.35,12.92,5.12
165,79,16,Menstrual Cup - Size S,6,14.42,8.65,5.45
166,79,4,Organic Night Pads - Night / 28,8,13.03,5.21,6.93
167,80,7,Organic Panty Liners - Day / 60,3,7.15,0.0,2.79
168,80,11,Organic Tampons - Super / 32,2,9.66,0.0,2.51
169,80,19,Period Underwear - Size S,1,17.7,0.0,2.3
170,81,11,Organic Tampons - Super / 32,1,9.57,0.0,0.67
171,81,22,Wall-Mounted Steel Dispenser - Steel,2,36.05,0.0,5.05
172,82,10,Organic Tampons - Super / 16,8,5.26,0.0,5.47
173,82,4,Organic Night Pads - Night / 28,4,13.08,5.23,6.12
174,82,23,Plexi Dispenser - Plexi,4,21.64,12.98,9.57
175,83,13,Organic Tampons w/ Applicator - Regular / 32,1,11.02,0.0,0.77
176,84,21,Period Underwear - Size L,6,17.7,15.93,11.74
177,84,22,Wall-Mounted Steel Dispenser - Steel,10,36.04,54.06,39.82
178,85,5,Organic Postpartum Pads - Postpartum / 20,1,10.62,0.0,0.74
179,85,15,Organic Tampons w/ Applicator - Super / 32,1,12.25,0.0,0.86
180,86,12,Organic Tampons w/ Applicator - Regular / 16,1,6.1,0.3,0.75
181,86,21,Period Underwear - Size L,1,17.61,0.0,2.29
182,86,8,Organic Tampons - Regular / 16,1,4.82,0.0,0.63
183,87,12,Organic Tampons w/ Applicator - Regular / 16,4,6.09,0.0,3.17
184,87,16,Menstrual Cup - Size S,4,14.32,0.0,7.45
185,88,14,Organic Tampons w/ Applicator - Super / 16,1,6.91,0.0,0.48
186,88,3,Organic Night Pads - Night / 14,3,7.36,0.0,1.55
187,89,13,Organic Tampons w/ Applicator - Regular / 32,3,11.03,0.0,4.3
188,90,15,Organic Tampons w/ Applicator - Super / 32,3,12.33,0.0,2.59
189,91,10,Organic Tampons - Super / 16,4,5.39,0.0,2.8
190,91,12,Organic Tampons w/ Applicator - Regular / 16,4,6.17,0.0,3.21
191,91,5,Organic Postpartum Pads - Postpartum / 20,4,10.68,2.14,5.28
192,92,12,Organic Tampons w/ Applicator - Regular / 16,3,6.19,0.93,1.23
193,92,6,Organic Panty Liners - Day / 30,2,4.12,0.41,0.55
194,92,13,Organic Tampons w/ Applicator - Regular / 32,1,11.02,0.0,0.77
195,93,20,Period Underwear - Size M,4,17.6,0.0,9.15
196,93,21,Period Underwear - Size L,1,17.61,0.0,2.29
197,93,14,Organic Tampons w/ Applicator - Super / 16,1,6.77,0.0,0.88
198,93,4,Organic Night Pads - Night / 28,4,13.06,0.0,6.79
199,94,17,Menstrual Cup - Size M,1,14.57,0.0,1.02
200,94,9,Organic Tampons - Regular / 32,3,8.62,0.0,1.81
201,95,18,Menstrual Cup - Size L,4,14.4,2.88,7.11
202,96,2,Organic Daily Pads - Regular / 40,8,9.68,3.87,9.56
203,96,10,Organic Tampons - Super / 16,8,5.27,0.0,5.48
204,97,21,Period Underwear - Size L,2,17.75,0.0,4.62
205,97,12,Organic Tampons w/ Applicator - Regular / 16,1,6.08,0.0,0.79
206,98,24,Heat Patches (5-pack) - 5-pack,3,4.7,0.0,0.99
207,98,13,Organic Tampons w/ Applicator - Regular / 32,4,11.01,2.2,2.93
208,98,6,Organic Panty Liners - Day / 30,3,4.06,0.0,0.85
209,99,11,Organic Tampons - Super / 32,4,9.68,0.0,5.03
210,100,4,Organic Night Pads - Night / 28,4,13.07,0.0,3.66
211,101,11,Organic Tampons - Super / 32,1,9.55,0.0,0.67
212,101,22,Wall-Mounted Steel Dispenser - Steel,2,36.2,0.0,5.07
213,102,18,Menstrual Cup - Size L,4,14.42,0.0,7.5
214,102,20,Period Underwear - Size M,2,17.71,0.0,4.6
215,103,19,Period Underwear - Size S,4,17.67,3.53,8.73
216,104,20,Period Underwear - Size M,2,17.63,1.76,4.36
217,104,23,Plexi Dispenser - Plexi,4,21.62,0.0,11.24
218,104,8,Organic Tampons - Regular / 16,2,4.84,0.0,1.26
219,104,4,Organic Night Pads - Night / 28,4,13.0,0.0,6.76
220,105,16,Menstrual Cup - Size S,3,14.3,0.0,5.58
221,106,15,Organic Tampons w/ Applicator - Super / 32,1,12.27,0.0,1.6
222,106,12,Organic Tampons w/ Applicator - Regular / 16,2,6.08,0.61,1.5
223,106,24,Heat Patches (5-pack) - 5-pack,1,4.59,0.0,0.6
224,106,13,Organic Tampons w/ Applicator - Regular / 32,1,11.07,0.0,1.44
225,107,17,Menstrual Cup - Size M,1,14.5,0.0,1.88
226,107,20,Period Underwear - Size M,4,17.79,0.0,9.25
227,107,4,Organic Night Pads - Night / 28,4,13.04,0.0,6.78
228,108,20,Period Underwear - Size M,8,17.66,7.06,17.45
229,108,2,Organic Daily Pads - Regular / 40,10,9.65,14.48,10.66
230,109,17,Menstrual Cup - Size M,8,14.48,17.38,12.8
231,109,3,Organic Night Pads - Night / 14,12,7.28,4.37,10.79
232,109,17,Menstrual Cup - Size M,6,14.47,0.0,11.29
233,109,21,Period Underwear - Size L,4,17.6,10.56,7.78
234,110,18,Menstrual Cup - Size L,4,14.32,0.0,4.01
235,111,20,Period Underwear - Size M,2,17.85,0.0,4.64
236,111,11,Organic Tampons - Super / 32,2,9.51,0.0,2.47
237,111,9,Organic Tampons - Regular / 32,3,8.67,0.0,3.38
238,112,8,Organic Tampons - Regular / 16,4,4.78,0.96,2.36
239,112,16,Menstrual Cup - Size S,4,14.34,2.87,7.08
240,112,5,Organic Postpartum Pads - Postpartum / 20,2,10.53,0.0,2.74
241,113,1,Organic Daily Pads - Regular / 20,2,5.57,0.0,0.78
242,113,10,Organic Tampons - Super / 16,2,5.3,0.0,0.74
243,113,14,Organic Tampons w/ Applicator - Super / 16,1,6.88,0.0,0.48
244,114,3,Organic Night Pads - Night / 14,10,7.5,7.5,8.78
245,114,2,Organic Daily Pads - Regular / 40,6,9.66,2.9,7.16
246,114,2,Organic Daily Pads - Regular / 40,8,9.62,7.7,9.0
247,114,7,Organic Panty Liners - Day / 60,12,7.29,8.75,10.23
248,115,8,Organic Tampons - Regular / 16,3,4.9,0.0,1.03
249,115,15,Organic Tampons w/ Applicator - Super / 32,1,12.43,0.0,0.87
250,116,25,Cramp Relief Balm - 30 ml,12,3.79,6.82,5.03
251,116,21,Period Underwear - Size L,10,17.6,17.6,20.59
252,116,8,Organic Tampons - Regular / 16,10,4.79,7.18,5.29
253,117,1,Organic Daily Pads - Regular / 20,3,5.55,0.0,2.16
254,118,7,Organic Panty Liners - Day / 60,8,7.08,0.0,7.36
255,118,23,Plexi Dispenser - Plexi,10,21.7,21.7,25.39
256,118,20,Period Underwear - Size M,8,17.68,0.0,18.39
257,119,13,Organic Tampons w/ Applicator - Regular / 32,3,11.27,0.0,2.37
258,119,16,Menstrual Cup - Size S,2,14.52,1.45,1.93
259,119,9,Organic Tampons - Regular / 32,4,8.69,0.0,2.43
260,119,10,Organic Tampons - Super / 16,3,5.31,0.0,1.12
261,120,23,Plexi Dispenser - Plexi,1,21.63,0.0,1.51
262,120,8,Organic Tampons - Regular / 16,3,4.95,0.0,1.04
263,121,14,Organic Tampons w/ Applicator - Super / 16,4,6.77,0.0,3.52
264,121,15,Organic Tampons w/ Applicator - Super / 32,3,12.28,0.0,4.79
265,122,25,Cramp Relief Balm - 30 ml,12,3.86,0.0,3.24
266,122,4,Organic Night Pads - Night / 28,8,13.12,10.5,6.61
267,123,11,Organic Tampons - Super / 32,1,9.5,0.0,0.66
268,123,13,Organic Tampons w/ Applicator - Regular / 32,3,11.08,0.0,2.33
269,123,13,Organic Tampons w/ Applicator - Regular / 32,2,11.05,0.0,1.55
270,124,9,Organic Tampons - Regular / 32,4,8.68,0.0,4.51
271,125,8,Organic Tampons - Regular / 16,4,4.99,1.0,2.46
272,125,12,Organic Tampons w/ Applicator - Regular / 16,6,6.07,1.82,4.5
273,126,5,Organic Postpartum Pads - Postpartum / 20,4,10.58,0.0,2.96
274,126,16,Menstrual Cup - Size S,4,14.4,0.0,4.03
275,127,2,Organic Daily Pads - Regular / 40,4,9.59,0.0,4.99
276,128,12,Organic Tampons w/ Applicator - Regular / 16,12,6.03,3.62,8.94
277,128,3,Organic Night Pads - Night / 14,6,7.45,4.47,5.23
278,129,15,Organic Tampons w/ Applicator - Super / 32,3,12.27,0.0,4.79
279,130,11,Organic Tampons - Super / 32,4,9.65,0.0,2.7
280,130,9,Organic Tampons - Regular / 32,4,8.58,0.0,2.4
281,131,12,Organic Tampons w/ Applicator - Regular / 16,4,6.05,0.0,3.15
282,132,24,Heat Patches (5-pack) - 5-pack,1,4.75,0.0,0.62
283,133,14,Organic Tampons w/ Applicator - Super / 16,2,6.83,0.0,1.78
284,133,19,Period Underwear - Size S,1,17.6,0.0,2.29
285,134,17,Menstrual Cup - Size M,4,14.34,0.0,7.46
286,134,4,Organic Night Pads - Night / 28,4,13.14,0.0,6.83
287,135,3,Organic Night Pads - Night / 14,4,7.3,0.0,3.8
288,135,4,Organic Night Pads - Night / 28,3,13.01,0.0,5.07
289,136,8,Organic Tampons - Regular / 16,1,4.81,0.0,0.63
290,136,15,Organic Tampons w/ Applicator - Super / 32,4,12.35,2.47,6.1
291,136,2,Organic Daily Pads - Regular / 40,1,9.58,0.48,1.18
292,136,7,Organic Panty Liners - Day / 60,2,7.07,0.0,1.84
293,137,6,Organic Panty Liners - Day / 30,3,4.01,0.0,0.84
294,138,5,Organic Postpartum Pads - Postpartum / 20,4,10.64,0.0,5.53
295,138,5,Organic Postpartum Pads - Postpartum / 20,10,10.68,10.68,12.5
296,138,21,Period Underwear - Size L,4,17.64,10.58,7.8
297,138,15,Organic Tampons w/ Applicator - Super / 32,8,12.29,0.0,12.78
298,139,18,Menstrual Cup - Size L,4,14.6,0.0,4.09
299,140,13,Organic Tampons w/ Applicator - Regular / 32,2,11.09,0.0,2.88
300,140,19,Period Underwear - Size S,2,17.76,0.0,4.62
301,141,11,Organic Tampons - Super / 32,8,9.61,11.53,8.5
302,141,16,Menstrual Cup - Size S,10,14.42,14.42,16.87
303,141,20,Period Underwear - Size M,4,17.76,3.55,8.77
304,142,12,Organic Tampons w/ Applicator - Regular / 16,2,6.04,0.0,0.85
305,143,7,Organic Panty Liners - Day / 60,6,7.15,0.0,3.0
306,143,6,Organic Panty Liners - Day / 30,8,4.08,3.26,2.06
307,144,21,Period Underwear - Size L,1,17.72,0.0,1.24
308,144,13,Organic Tampons w/ Applicator - Regular / 32,1,11.09,0.0,0.78
309,145,9,Organic Tampons - Regular / 32,2,8.77,0.88,2.17
310,146,17,Menstrual Cup - Size M,3,14.3,0.0,3.0
311,146,16,Menstrual Cup - Size S,4,14.4,2.88,3.83
312,147,16,Menstrual Cup - Size S,4,14.38,0.0,4.03
313,148,23,Plexi Dispenser - Plexi,4,21.64,4.33,5.76
314,148,19,Period Underwear - Size S,2,17.78,0.0,2.49
315,149,23,Plexi Dispenser - Plexi,1,21.76,0.0,1.52
316,149,24,Heat Patches (5-pack) - 5-pack,3,4.62,0.0,0.97
317,150,19,Period Underwear - Size S,3,17.6,0.0,6.86
318,151,24,Heat Patches (5-pack) - 5-pack,4,4.68,0.94,1.24
319,151,20,Period Underwear - Size M,3,17.62,2.64,3.52
320,151,7,Organic Panty Liners - Day / 60,4,7.2,1.44,1.92
321,152,11,Organic Tampons - Super / 32,10,9.6,0.0,12.48
322,152,13,Organic Tampons w/ Applicator - Regular / 32,6,11.04,0.0,8.61
323,152,25,Cramp Relief Balm - 30 ml,4,3.81,0.0,1.98
324,152,13,Organic Tampons w/ Applicator - Regular / 32,8,11.0,0.0,11.44
325,153,12,Organic Tampons w/ Applicator - Regular / 16,2,6.09,0.61,0.81
326,153,10,Organic Tampons - Super / 16,1,5.39,0.0,0.38
327,154,12,Organic Tampons w/ Applicator - Regular / 16,3,6.15,0.0,2.4
328,154,22,Wall-Mounted Steel Dispenser - Steel,3,36.0,5.4,13.34
329,155,17,Menstrual Cup - Size M,8,14.36,0.0,8.04
330,155,1,Organic Daily Pads - Regular / 20,8,5.69,0.0,3.19
331,155,20,Period Underwear - Size M,8,17.79,7.12,9.46
332,155,1,Organic Daily Pads - Regular / 20,8,5.62,2.25,2.99
333,156,13,Organic Tampons w/ Applicator - Regular / 32,3,11.2,0.0,2.35
334,156,2,Organic Daily Pads - Regular / 40,4,9.67,0.0,2.71
335,156,5,Organic Postpartum Pads - Postpartum / 20,4,10.61,0.0,2.97
336,157,24,Heat Patches (5-pack) - 5-pack,1,4.64,0.0,0.6
337,158,13,Organic Tampons w/ Applicator - Regular / 32,2,11.01,0.0,2.86
338,158,23,Plexi Dispenser - Plexi,4,21.78,0.0,11.33
339,158,19,Period Underwear - Size S,3,17.67,0.0,6.89
340,159,25,Cramp Relief Balm - 30 ml,2,3.84,0.0,1.0
341,159,19,Period Underwear - Size S,3,17.79,0.0,6.94
342,159,17,Menstrual Cup - Size M,4,14.36,0.0,7.47
343,159,7,Organic Panty Liners - Day / 60,2,7.26,0.0,1.89
344,160,7,Organic Panty Liners - Day / 60,1,7.14,0.36,0.88
345,160,3,Organic Night Pads - Night / 14,2,7.28,0.0,1.89
346,161,18,Menstrual Cup - Size L,1,14.38,0.0,1.87
347,161,8,Organic Tampons - Regular / 16,2,4.75,0.0,1.24
348,162,10,Organic Tampons - Super / 16,2,5.35,0.0,0.75
349,163,5,Organic Postpartum Pads - Postpartum / 20,4,10.5,0.0,5.46
350,163,12,Organic Tampons w/ Applicator - Regular / 16,4,6.13,0.0,3.19
351,164,6,Organic Panty Liners - Day / 30,1,4.19,0.0,0.54
352,165,6,Organic Panty Liners - Day / 30,4,4.04,0.81,2.0
353,165,12,Organic Tampons w/ Applicator - Regular / 16,2,6.08,0.0,1.58
354,165,1,Organic Daily Pads - Regular / 20,2,5.66,0.0,1.47
355,166,11,Organic Tampons - Super / 32,1,9.59,0.0,0.67
356,166,19,Period Underwear - Size S,3,17.82,0.0,3.74
357,167,7,Organic Panty Liners - Day / 60,4,7.06,0.0,1.98
358,167,8,Organic Tampons - Regular / 16,3,4.93,0.0,1.04
359,167,19,Period Underwear - Size S,3,17.75,0.0,3.73
360,168,25,Cramp Relief Balm - 30 ml,2,3.93,0.0,1.02
361,169,6,Organic Panty Liners - Day / 30,4,4.05,0.0,1.13
362,169,15,Organic Tampons w/ Applicator - Super / 32,3,12.39,0.0,2.6
363,170,15,Organic Tampons w/ Applicator - Super / 32,3,12.51,1.88,2.5
364,170,16,Menstrual Cup - Size S,4,14.45,0.0,4.05
365,170,6,Organic Panty Liners - Day / 30,2,4.15,0.0,0.58
366,171,6,Organic Panty Liners - Day / 30,1,4.03,0.0,0.52
367,172,19,Period Underwear - Size S,1,17.87,0.89,1.19
368,173,24,Heat Patches (5-pack) - 5-pack,3,4.8,0.72,0.96
369,173,24,Heat Patches (5-pack) - 5-pack,3,4.61,0.0,0.97
370,174,8,Organic Tampons - Regular / 16,4,4.91,0.0,2.55
371,174,23,Plexi Dispenser - Plexi,6,21.63,0.0,16.87
372,174,18,Menstrual Cup - Size L,6,14.44,8.66,10.14
373,175,1,Organic Daily Pads - Regular / 20,4,5.53,0.0,1.55
374,176,22,Wall-Mounted Steel Dispenser - Steel,1,36.16,0.0,2.53
375,176,15,Organic Tampons w/ Applicator - Super / 32,2,12.29,0.0,1.72
376,176,16,Menstrual Cup - Size S,4,14.31,0.0,4.01
377,177,7,Organic Panty Liners - Day / 60,3,7.07,0.0,2.76
378,177,15,Organic Tampons w/ Applicator - Super / 32,4,12.36,0.0,6.43
379,177,5,Organic Postpartum Pads - Postpartum / 20,4,10.65,0.0,5.54
380,178,19,Period Underwear - Size S,2,17.79,0.0,4.63
381,178,2,Organic Daily Pads - Regular / 40,1,9.65,0.0,1.25
382,179,15,Organic Tampons w/ Applicator - Super / 32,1,12.25,0.0,0.86
383,179,20,Period Underwear - Size M,4,17.69,0.0,4.95
384,180,21,Period Underwear - Size L,3,17.75,0.0,3.73
